Year,State,MinWage,Patents,D_MinWage,D_MinWage_Positive,D_Patents,D_Patents_Pct,D_MinWage_L1,D_Patents_L1,D_MinWage_L2,D_Patents_L2,D_MinWage_L3,D_Patents_L3
2011,West Virginia,8.34,109,-0.2599999999999998,0,-25.0,-0.18656716417910446,-0.14000000000000057,32.0,0.8700000000000001,11.0,0.5700000000000003,-25.0
2012,West Virginia,8.17,142,-0.16999999999999993,0,33.0,0.3027522935779816,-0.2599999999999998,-25.0,-0.14000000000000057,32.0,0.8700000000000001,11.0
2013,West Virginia,8.05,153,-0.11999999999999922,0,11.0,0.07746478873239426,-0.16999999999999993,33.0,-0.2599999999999998,-25.0,-0.14000000000000057,32.0
2014,West Virginia,7.92,137,-0.13000000000000078,0,-16.0,-0.10457516339869277,-0.11999999999999922,11.0,-0.16999999999999993,33.0,-0.2599999999999998,-25.0
2015,West Virginia,8.73,136,0.8100000000000005,1,-1.0,-0.007299270072992692,-0.13000000000000078,-16.0,-0.11999999999999922,11.0,-0.16999999999999993,33.0
2002,Wisconsin,7.4,2119,,0,,,,,,,,
2003,Wisconsin,7.24,2083,-0.16000000000000014,0,-36.0,-0.01698914582350164,,,,,,
2004,Wisconsin,7.05,1975,-0.1900000000000004,0,-108.0,-0.05184829572731642,-0.16000000000000014,-36.0,,,,
2005,Wisconsin,6.82,1756,-0.22999999999999954,0,-219.0,-0.11088607594936706,-0.1900000000000004,-108.0,-0.16000000000000014,-36.0,,
2006,Wisconsin,7.31,2151,0.4899999999999993,1,395.0,0.22494305239179946,-0.22999999999999954,-219.0,-0.1900000000000004,-108.0,-0.16000000000000014,-36.0
2007,Wisconsin,8.11,1928,0.7999999999999998,1,-223.0,-0.10367271036727099,0.4899999999999993,395.0,-0.22999999999999954,-219.0,-0.1900000000000004,-108.0
2008,Wisconsin,7.81,1921,-0.2999999999999998,0,-7.0,-0.0036307053941908585,0.7999999999999998,-223.0,0.4899999999999993,395.0,-0.22999999999999954,-219.0
2009,Wisconsin,7.9,1887,0.09000000000000075,1,-34.0,-0.017699115044247815,-0.2999999999999998,-7.0,0.7999999999999998,-223.0,0.4899999999999993,395.0
2010,Wisconsin,8.6,2232,0.6999999999999993,1,345.0,0.1828298887122417,0.09000000000000075,-34.0,-0.2999999999999998,-7.0,0.7999999999999998,-223.0
2011,Wisconsin,8.34,2154,-0.2599999999999998,0,-78.0,-0.034946236559139754,0.6999999999999993,345.0,0.09000000000000075,-34.0,-0.2999999999999998,-7.0
2012,Wisconsin,8.17,2289,-0.16999999999999993,0,135.0,0.06267409470752083,-0.2599999999999998,-78.0,0.6999999999999993,345.0,0.09000000000000075,-34.0
2013,Wisconsin,8.05,2502,-0.11999999999999922,0,213.0,0.09305373525557004,-0.16999999999999993,135.0,-0.2599999999999998,-78.0,0.6999999999999993,345.0
